Country,First Case Date,Hundreth Case Date,Fiftieth case per 1m Date,Days first 100,Days first fiftieth per 1m,
Latvia,02/03/2020,20/03/2020,20/03/2020,18,18,
Lebanon,21/02/2020,15/03/2020,26/03/2020,23,34,
Liberia,16/03/2020,21/04/2020,,36,,
Libya,24/03/2020,,,,,
Liechtenstein,03/03/2020,,11/03/2020,,8,
Lithuania,28/02/2020,22/03/2020,22/03/2020,23,23,
Luxembourg,29/02/2020,17/03/2020,13/03/2020,17,13,
Macao,22/01/2020,,26/03/2020,,64,
Madagascar,20/03/2020,11/04/2020,,22,,
Malawi,02/04/2020,,,,,
Malaysia,25/01/2020,09/03/2020,24/03/2020,44,59,
Maldives,07/03/2020,23/04/2020,17/04/2020,47,41,
Mali,25/03/2020,12/04/2020,,18,,
Malta,07/03/2020,23/03/2020,16/03/2020,16,9,
Martinique,05/03/2020,31/03/2020,18/03/2020,26,13,
Mauritania,13/03/2020,,,,,
Mauritius,18/03/2020,28/03/2020,26/03/2020,10,8,
Mayotte,14/03/2020,01/04/2020,23/04/2020,18,40,
Mexico,28/02/2020,19/03/2020,18/04/2020,20,50,
Moldova,07/03/2020,23/03/2020,28/03/2020,16,21,
Monaco,28/02/2020,,12/03/2020,,13,
Mongolia,10/03/2020,16/05/2020,,67,,
Montenegro,17/03/2020,31/03/2020,24/03/2020,14,7,
Montserrat,18/03/2020,,18/03/2020,,0,
Morocco,02/03/2020,22/03/2020,14/04/2020,20,43,
Mozambique,22/03/2020,11/05/2020,,50,,
Myanmar,23/03/2020,19/04/2020,,27,,
Namibia,14/03/2020,,,,,
Nepal,24/01/2020,07/05/2020,,104,,
Netherlands,27/02/2020,06/03/2020,14/03/2020,8,16,
New Caledonia,18/03/2020,,25/03/2020,,7,
New Zealand,28/02/2020,22/03/2020,25/03/2020,23,26,
Nicaragua,19/03/2020,,,,,
Niger,19/03/2020,03/04/2020,,15,,
Nigeria,28/02/2020,29/03/2020,,30,,
North Macedonia,26/02/2020,22/03/2020,22/03/2020,25,25,
Norway,26/02/2020,06/03/2020,10/03/2020,9,13,
Oman,24/02/2020,26/03/2020,04/04/2020,31,40,
Pakistan,26/02/2020,16/03/2020,23/04/2020,19,57,
Palestine,05/03/2020,29/03/2020,06/04/2020,24,32,
Panama,10/03/2020,18/03/2020,21/03/2020,8,11,
Papua New Guinea,20/03/2020,,,,,
Paraguay,07/03/2020,05/04/2020,03/05/2020,29,57,
Peru,06/03/2020,17/03/2020,04/04/2020,11,29,
Philippines,30/01/2020,14/03/2020,16/04/2020,44,77,
Poland,04/03/2020,14/03/2020,30/03/2020,10,26,
Portugal,02/03/2020,13/03/2020,18/03/2020,11,16,
Qatar,29/02/2020,11/03/2020,11/03/2020,11,11,
Romania,26/02/2020,14/03/2020,26/03/2020,17,29,
Russia,31/01/2020,17/03/2020,07/04/2020,46,67,
Rwanda,14/03/2020,04/04/2020,,21,,
Réunion,11/03/2020,25/03/2020,21/03/2020,14,10,
S. Korea,20/01/2020,20/02/2020,29/02/2020,31,40,
Saint Kitts and Nevis,25/03/2020,,30/03/2020,,5,
Saint Lucia,13/03/2020,,29/03/2020,,16,
Saint Martin,01/03/2020,,01/03/2020,,0,
Saint Pierre Miquelon,05/04/2020,,05/04/2020,,0,
San Marino,27/02/2020,14/03/2020,01/03/2020,16,3,
Sao Tome and Principe,06/04/2020,05/05/2020,30/04/2020,29,24,
Saudi Arabia,02/03/2020,14/03/2020,02/04/2020,12,31,
Senegal,02/03/2020,26/03/2020,29/04/2020,24,58,
Serbia,06/03/2020,19/03/2020,26/03/2020,13,20,
Seychelles,14/03/2020,,18/03/2020,,4,
Sierra Leone,31/01/2020,28/04/2020,14/05/2020,88,104,
Singapore,23/01/2020,29/02/2020,18/03/2020,37,55,
Sint Maarten,18/03/2020,,23/03/2020,,5,
Slovakia,06/03/2020,18/03/2020,28/03/2020,12,22,
Slovenia,04/03/2020,13/03/2020,13/03/2020,9,9,
Somalia,16/03/2020,17/04/2020,05/05/2020,32,50,
South Africa,05/03/2020,18/03/2020,18/04/2020,13,44,
South Sudan,05/04/2020,08/04/2020,,3,,
Spain,31/01/2020,02/03/2020,12/03/2020,31,41,
Sri Lanka,03/03/2020,24/03/2020,,21,,
St. Barth,01/03/2020,,01/03/2020,,0,
St. Vincent Grenadines,11/03/2020,,03/04/2020,,23,
Sudan,13/03/2020,20/04/2020,16/05/2020,38,64,
Suriname,13/03/2020,,,,,
Sweden,31/01/2020,06/03/2020,12/03/2020,35,41,
Switzerland,25/02/2020,05/03/2020,10/03/2020,9,14,
Syria,22/03/2020,,,,,
Taiwan,28/01/2020,18/03/2020,,50,,
Tanzania,16/03/2020,17/04/2020,,32,,
